0	0.0000
1	0.0000
2	0.0000
3	0.0000
4	0.0000
5	0.0000
6	0.0000
7	0.0000
8	0.0000
9	0.0000
10	0.0000
11	0.0000
12	0.0000
13	0.0000
14	0.0000
15	0.0000
16	0.0000
17	0.0000
18	0.0000
19	0.0000
20	0.0000
21	0.0000
22	0.0000
23	0.0000
24	0.0000
25	0.0000
26	0.0000
27	0.0000
28	0.0000
29	0.0000
30	0.0150
31	0.0160
32	0.0160
33	0.0150
34	0.0320
35	0.0620
36	0.1560
37	0.3280
38	0.5320
39	0.8270
40	1.2350
41	1.7970
42	2.7650
43	5.0150
44	8.5780
45	12.5940
46	20.8600
47	32.7510
48	63.3580
49	103.4070
50	153.9520
